name,description,image_url,hit_die,primary_ability,saving_throw_proficiencies,armor_proficiencies,weapon_proficiencies,tool_proficiencies,skill_choices,available_skills,spellcaster,spellcasting_ability,class_features,starting_equipment,id,created_date,updated_date,created_by_id,created_by,is_sample
Barde,Un inspirant magicien dont le pouvoir fait écho à la musique de la création.,,8,,,,,,3,,TRUE,charisma,,,68e01a232543420d218be3e6,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Moine,"Un maître des arts martiaux, maîtrisant l'énergie du corps en quête de perfection.",,8,,,,,,2,,FALSE,,,,68e01a232543420d218be3ea,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Rôdeur,Un guerrier qui utilise la prouesse martiale et la magie de la nature pour combattre les menaces.,,10,,,,,,3,,TRUE,wisdom,,,68e01a232543420d218be3ec,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Barbare,Un féroce guerrier d'origine primitive qui peut entrer dans une rage de combat.,,12,,,,,,2,,FALSE,,,,68e01a232543420d218be3e5,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Druide,"Un prêtre de la Vieille Foi, maniant les pouvoirs de la nature et adoptant des formes animales.",,8,,,,,,2,,TRUE,wisdom,,,68e01a232543420d218be3e8,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Guerrier,"Un maître de la guerre martiale, compétent avec une variété d'armes et d'armures.",,10,,,,,,2,,FALSE,,,,68e01a232543420d218be3e9,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Paladin,Un saint guerrier lié par un serment sacré.,,10,,,,,,2,,TRUE,charisma,,,68e01a232543420d218be3eb,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Magicien,Un utilisateur savant de magie capable de manipuler les structures de la réalité.,,6,,,,,,2,,TRUE,intelligence,,,68e01a232543420d218be3f0,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Roublard,Un scélérat qui utilise la furtivité et la ruse pour surmonter les obstacles et les ennemis.,,8,,,,,,4,,FALSE,,,,68e01a232543420d218be3ed,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Clerc,Un champion sacerdotal qui exerce la magie divine au service d'une puissance supérieure.,,8,,,,,,2,,TRUE,wisdom,,,68e01a232543420d218be3e7,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Ensorceleur,Un lanceur de sorts qui puise dans la magie innée provenant d'un don ou d'une lignée.,,6,,,,,,2,,TRUE,charisma,,,68e01a232543420d218be3ee,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sorcier,Un détenteur de magie conférée par un pacte avec une entité extraplanaire.,,8,,,,,,2,,TRUE,charisma,,,68e01a232543420d218be3ef,2025-10-03T18:46:59.086000,2025-10-03T18:46:59.086000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
