name,class,level,description,subclass,usage,uses_per_rest,rest_type,id,created_date,updated_date,created_by_id,created_by,is_sample
Explorateur-né,ranger,1,Vous êtes particulièrement familier avec un type de terrain. Voyager une heure ou plus dans votre terrain de prédilection vous octroie plusieurs avantages.,,passive,,none,68e2663bec30b2f6d1ea0532,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Style de combat (Rôdeur),ranger,2,"Vous adoptez un style de combat : Archerie, Combat à deux armes, Défense, ou Duel.",,passive,,none,68e2663bec30b2f6d1ea0533,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Incantation (Rôdeur),ranger,2,Vous avez appris à canaliser la magie de la nature. Vous connaissez des sorts de rôdeur.,,spell,,none,68e2663bec30b2f6d1ea0534,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Archétype de rôdeur,ranger,3,"Vous choisissez un archétype : Chasseur, Maître des bêtes, etc.",,passive,,none,68e2663bec30b2f6d1ea0535,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Conscience primitive,ranger,3,"En action, vous pouvez dépenser un emplacement de sort pour concentrer votre attention sur la région autour de vous. Pendant 1 minute par niveau de sort, vous détectez certains types de créatures dans un rayon de 1,5 km.",,action,Emplacements de sort,long,68e2663bec30b2f6d1ea0536,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Amélioration de caractéristique (Rôdeur),ranger,4,"Vous pouvez augmenter une valeur de caractéristique de 2, ou deux valeurs de 1. Vous ne pouvez pas augmenter une caractéristique au-delà de 20.",,passive,,none,68e2663bec30b2f6d1ea0537,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Attaque supplémentaire (Rôdeur),ranger,5,Vous pouvez attaquer deux fois au lieu d'une lorsque vous réalisez l'action Attaquer durant votre tour.,,passive,,none,68e2663bec30b2f6d1ea0538,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Déplacement agile,ranger,8,Les déplacements difficiles dus au terrain naturel ne vous coûtent pas de déplacement supplémentaire.,,passive,,none,68e2663bec30b2f6d1ea0539,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Camouflage naturel,ranger,10,"Vous pouvez passer 1 minute à vous camoufler. Une fois fait, vous avez un bonus de +10 aux jets de Dextérité (Discrétion) tant que vous restez immobile et silencieux.",,action,,none,68e2663bec30b2f6d1ea053a,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Disparition,ranger,14,"Vous pouvez utiliser l'action Se cacher en action bonus. De plus, vous ne pouvez pas être pisté par des moyens non magiques sauf si vous choisissez de laisser une piste.",,passive,,none,68e2663bec30b2f6d1ea053b,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sens sauvages,ranger,18,"Vous gagnez des sens surnaturels. En action, vous pouvez dépenser un emplacement de sort pour détecter les créatures invisibles et cachées dans un rayon de 9m pendant 1 heure.",,action,Emplacements de sort,long,68e2663bec30b2f6d1ea053c,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tueur de monstres,ranger,20,"Vous devenez un chasseur de monstres incomparable. Une fois par tour, vous pouvez ajouter votre modificateur de Sagesse à un jet d'attaque ou de dégâts contre votre ennemi juré.",,passive,,none,68e2663bec30b2f6d1ea053d,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Expertise (Roublard),rogue,1,Choisissez deux compétences ou outils que vous maîtrisez. Votre bonus de maîtrise est doublé pour ces compétences ou outils.,,passive,,none,68e2663bec30b2f6d1ea053e,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Attaque sournoise,rogue,1,"Une fois par tour, vous infligez 1d6 dégâts supplémentaires à une créature que vous touchez avec une attaque si vous avez l'avantage. Les dégâts augmentent avec les niveaux.",,passive,,none,68e2663bec30b2f6d1ea053f,2025-10-05T12:36:11.290000,2025-10-05T12:36:11.290000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
