continent_id,name,description,image_url,government_type,ruler,population,capital,language,currency,military,economy,culture,history,relations,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
690f895f7ca28b3902733216,Principautés de Syl'morah,Les Principautés de Syl'morah sont une confédération de cités-états humaines et Syl'variennes dans les forêts cristallines du nord. Alliance entre humains et elfes cristallins basée sur le respect mutuel et la magie.,,oligarchy,"Conseil des Douze Princes (6 humains, 6 Syl'variens)","15 millions (40% Syl'variens, 35% humains, 25% autres)",Lys'sylvaar,Véh'ran des Forêts (Syl'vehn) et Syl'varien,Le Cristal Lys (gemme),,"Magie cristalline, alchimie, soins, artisanat magique","Harmonie avec la nature cristalline, magie blanche, arts et musique",Alliance formée il y a 1200 ans entre colons Véh'ranii et Syl'variens.,,,690f895f7ca28b390273321c,2025-11-08T18:18:07.991000,2025-11-08T18:18:45.936000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b3902733216,Marches de Vor'kharad,"Les Marches de Vor'kharad sont des territoires montagneux gouvernés par les clans Vor'kanii avec une forte présence humaine. Terres de guerriers et de mineurs, c'est une société féodale basée sur l'honneur.",,tribal,Grand Jarl Thurn Vhor'kar,"20 millions (50% Vor'kanii, 30% humains, 20% nains)",Vhor'dunheim,Véh'ran Nordique (Vhor'vehn) et Vor'kan,L'Acier du Nord (lingot),,"Extraction minière, forge, guerre, mercenariat","Culture guerrière basée sur l'honneur, les duels, et les sagas. Grande tradition de forge.",Territoire des Vor'kanii depuis toujours. Alliance avec les humains du Nord il y a 1500 ans.,,,690f895f7ca28b390273321d,2025-11-08T18:18:07.991000,2025-11-08T18:18:44.248000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b3902733216,République marchande de Rav'kymora,La République marchande de Rav'kymora est une thalassocratie fondée par les Rav'kyrii avec une importante population humaine. Contrôle le commerce maritime entre Vehr'amora et Thal'kyros.,,oligarchy,Conseil des Marchands-Princes,"12 millions (45% humains, 40% Rav'kyrii, 15% autres)",Kyl'ravaar,Véh'ran (standard) et Rav'kyr,Le Ducat d'Or,,"Commerce maritime, banque, assurance, construction navale","Culture marchande cosmopolite, liberté d'entreprise, égalité des chances",Fondée il y a 600 ans par des marchands humains et Rav'kyrii.,,,690f895f7ca28b390273321e,2025-11-08T18:18:07.991000,2025-11-08T18:18:42.675000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b3902733217,Empire Thal'morien,L'Empire Thal'morien est une puissante thalassocratie sous-marine gouvernée par les Thal'moriens. Contrôle les profondeurs océaniques et maintient des relations limitées avec les races terrestres.,,empire,Empereur-Marée Kor'thalas VII,"80 millions (90% Thal'moriens, 10% autres races aquatiques)",Thal'myr (cité sous-marine),Thal'moris,La Perle Noire,,"Pêche, alchimie marine, magie aquatique, trésors abÿssaux","Culture mystérieuse et ancienne, gardiens de secrets abÿssaux, méfiance envers les terriens",Empire multi-millénaire qui précède l'arrivée des races terrestres.,,,690f895f7ca28b390273321f,2025-11-08T18:18:07.991000,2025-11-08T18:18:40.530000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b3902733217,Confédération des Îles Lys'thalanes,"La Confédération des Îles Lys'thalanes est une alliance d'îles tropicales habitées par des humains, Thal'moriens de surface, et Lys'endar. Paradis tropical et centre culturel.",,democracy,Élu tous les 10 ans,"25 millions (50% humains, 30% Thal'moriens, 20% Lys'endar)",Lys'mara,Véh'ran Côtier (Thal'vehn),Le Coquillage d'Argent,,"Tourisme, agriculture tropicale, perles, commerce maritime","Culture festive et artistique, célébration des arts, musique et danse",Fondée il y a 1000 ans par des marins Véh'ranii et des Thal'moriens pacifiques.,,,690f895f7ca28b3902733220,2025-11-08T18:18:07.991000,2025-11-08T18:18:38.911000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b3902733218,Sultanat de Khar'azad,"Le Sultanat de Khar'azad est le plus grand royaume du désert, gouverné par les Khar'dumii mais avec une forte minorité humaine. Centre du commerce caravanier transcontinental.",,monarchy,Sultan Zar'khan III le Doré,"35 millions (60% Khar'dumii, 25% humains, 15% autres)",Azad'khar (Oasis de Feu),Khar'dum et Véh'ran du Désert (Khar'vehn),Le Dinar de Verre,,"Caravanes, extraction de cristaux, verre magique, esclavage (aboli récemment)","Culture de l'honneur et des serments, hospitalité sacrée, importance des traditions orales",Fondé il y a 2500 ans par les Khar'dumii après leur exode.,,,690f895f7ca28b3902733221,2025-11-08T18:18:07.991000,2025-11-08T18:18:37.450000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b3902733218,Cités Libres du Verre,"Les Cités Libres du Verre sont une alliance de cités-états humaines indépendantes dans le désert. Refuges de libéraux, d'artistes et d'inventeurs.",,democracy,Chaque cité est autonome,"10 millions (70% humains, 30% autres)",Vehr'azud (la plus grande),Véh'ran du Désert (Khar'vehn),Variable selon les cités,,"Innovation, artisanat du verre, alchimie, mercenariat","Culture de liberté individuelle, innovation technologique et magique",Fondées il y a 800 ans par des dissidents du Sultanat.,,,690f895f7ca28b3902733222,2025-11-08T18:18:07.991000,2025-11-08T18:18:35.429000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b3902733219,Domaine Aérien de Zeph'ynaar,Le Domaine Aérien de Zeph'ynaar est un royaume de cités flottantes gouverné par les Zeph'yniens. Peu d'humains y vivent en permanence mais beaucoup viennent en pèlerinage.,,oligarchy,Conseil des Vents (7 Maîtres du Ciel),"40 millions (80% Zeph'yniens, 10% humains, 10% autres)",Zeph'alta (Cité des Nuages),Zeph'yn,Le Souffle d'Air (amulette),,"Magie aérienne, navigation céleste, élevage de créatures volantes","Culture de liberté et d'exploration, philosophie du vent, arts aériens",Fondé sur les îles flottantes après le Grand Cataclysme.,,,690f895f7ca28b3902733223,2025-11-08T18:18:07.991000,2025-11-08T18:18:33.440000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b390273321a,Royaume Obscur de Nyr'mor,"Le Royaume Obscur de Nyr'mor est un vaste réseau de cavernes gouverné par les Nyr'thalan. Très peu d'humains y vivent, considéré comme mystérieux et dangereux.",,monarchy,Roi des Ombres Vyr'neth,"70 millions (85% Nyr'thalan, 10% autres races souterraines, 5% humains)",Nyr'thul (Cité d'Obsidienne),Nyr'thal,Le Cristal Noir,,"Extraction de gemmes, champignons rares, assassinat, espionnage","Culture du secret et de l'information, societé nocturne, méfiance envers les étrangers",Fondé il y a 4000 ans après l'exode des Nyr'thalan dans les profondeurs.,,,690f895f7ca28b3902733224,2025-11-08T18:18:07.991000,2025-11-08T18:18:31.788000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f895f7ca28b3902733216,Royaume de Vehr'athar,"Le Royaume de Vehr'athar est le plus puissant royaume humain de Vehr'amora. Fondé sur les ruines de l'ancien Empire Véh'ran, c'est un état commercial et diplomatique prospère. La capitale, Ath'vehran (""Pierre du Grand Chemin""), est la plus grande cité d'Ahr'n.",,monarchy,Reine Lys'ara III Vehr'athar,"50 millions (60% humains, 40% autres races)",Ath'vehran,Véh'ran (standard),La Vehr'ana (pièce d'argent),,"Commerce, agriculture, artisanat, magie cristalline","Culture cosmopolite, tolérante, accent sur le commerce et la diplomatie. Nombreux festivals célébrant les migrations anciennes.",Fondé il y a 800 ans après l'éclatement de l'Empire Véh'ran. A maintenu la paix grâce à la diplomatie.,,,690f895f7ca28b390273321b,2025-11-08T18:18:07.990000,2025-11-08T18:18:47.947000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
