name,description_text,image_url,type,severity,origin,trigger,manifestation,stages,symptoms,mechanical_effects,psychological_effects,social_effects,duration,is_hereditary,hereditary_conditions,spread_conditions,death_clause,sequelae,breaking_conditions,magical_remedies,ritual_remedies,quest_remedy,prevention,detection,famous_victims,cultural_significance,warnings,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Malédiction de Takhisis - Souffle de la Reine Sombre,"Terrible malédiction lancée par Takhisis, la Reine des Ténèbres à Cinq Têtes, sur ceux qui osent défier son autorité ou trahir ses serviteurs draconiens. La victime commence lentement à se transformer en draconian corrompu.",,Divine,Catastrophique,,Tuer un dragon chromatic vénéré par Takhisis,Cinq marques de griffes apparaissent sur le torse,,"Cicatrices de griffes brûlantes, écailles noires, yeux reptiliens",Transformation progressive en draconian,Cauchemars de la Reine Sombre,"Terreur absolue, chassé comme monstre",5-8 semaines jusqu'à transformation,FALSE,,,Âme emportée dans l'Abysse,,,,,,Ne pas défier Takhisis,Cinq cicatrices de griffes visibles,,Terreur de Krynn pendant Guerre de la Lance,Transformation irréversible après stade final,,68e2ae39a5fcca414f27c491,2025-10-05T17:43:21.941000,2025-10-05T17:43:21.941000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Marque de Chemosh - Pourriture de l'Âme,"Malédiction du Seigneur des Morts de Krynn. Chemosh marque sa victime pour la mort, drainant lentement sa force vitale jusqu'à la transformer en mort-vivant à son service.",,Nécromantique,Majeure,,Profaner temple de Chemosh ou détruire un de ses champions,"Crâne noir apparaît sur la main gauche, chair devient froide",,"Marque de crâne noir, chair froide, pâleur cadavérique, yeux enfoncés","Perte 1d6 PV maximum par jour, désavantage jets Constitution","Obsession de la mort, voix des morts","Ressemble à mort-vivant, évité par vivants",Mort en 2-4 semaines,FALSE,,,Se relève comme mort-vivant au service de Chemosh,,,,,,Respecter domaine de Chemosh,Marque de crâne noir visible,,Marque terrible redoutée à Krynn,Mort certaine si non traité rapidement,,68e2ae39a5fcca414f27c492,2025-10-05T17:43:21.941000,2025-10-05T17:43:21.941000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Châtiment de Paladine - Lame Brisée,Malédiction lancée sur les chevaliers qui brisent leur serment ou trahissent l'Ordre de la Rose. Leur arme se brise et ils perdent toute compétence martiale.,,Divine,Majeure,,Briser serment solennel en tant que Chevalier de Solamnie,L'arme favorite du chevalier se brise en éclats,,"Incapacité à manier armes, tremblements, perte de compétences","Perd toutes compétences d'armes, -4 Force, désavantage attaques","Honte écrasante, perte d'honneur","Déchu, banni de l'Ordre, méprisé",Permanente jusqu'à rédemption,FALSE,,,,,,,,,Respecter serments chevaleresques,,,Honneur des Chevaliers de Solamnia,Déshonneur permanent si non racheté,,68e2ae39a5fcca414f27c493,2025-10-05T17:43:21.941000,2025-10-05T17:43:21.941000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Malédiction de Hiddukel - Traître Marqué,Le Dieu des Voleurs et des Marchands marque ceux qui le dupent. La victime devient incapable de faire confiance ou d'être digne de confiance.,,Divine,Modérée,,Briser contrat avec Hiddukel ou ses servants,Pièce d'or maudite apparaît dans paume,,"Pièce incrustée dans paume, paranoïa, tous semblent mentir","-3 Charisme, désavantage Perspicacité et Persuasion","Paranoïa extrême, ne peut faire confiance","Personne ne lui fait confiance, isolement",Permanente,FALSE,,,,,,,,,Ne jamais traiter avec Hiddukel,,,Avertissement aux marchands malhonnêtes,Dette doit être honorée,,68e2ae39a5fcca414f27c494,2025-10-05T17:43:21.941000,2025-10-05T17:43:21.941000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Rage de Sargonnas - Fureur du Minotaure,Malédiction du Dieu Minotaure lancée sur ceux qui humilient ou tuent ses enfants. La victime devient progressivement un minotaure sauvage.,,Divine,Majeure,,Déshonorer ou tuer champion minotaure,"Cornes commencent à pousser, rage incontrôlable",,"Cornes bovines, musculature massive, rage de combat","+4 Force, -4 Intelligence, attaques de charge","Rage de combat, perd raisonnement","Vu comme monstre, chassé","Permanente, transformation en 4-6 semaines",FALSE,,,,,,,,,Respecter honneur des minotaures,,,Colère de Sargonnas est légendaire,Transformation est brutale et douloureuse,,68e2ae39a5fcca414f27c495,2025-10-05T17:43:21.941000,2025-10-05T17:43:21.941000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pourriture de Momie,Malédiction nécromantique redoutable transmise par le contact d'une momie. La chair commence à se dessécher et pourrir comme celle d'un cadavre millénaire. Même la magie de guérison devient inefficace.,,Nécromantique,Majeure,,Être frappé par une momie ou toucher reliques maudites,La chair commence immédiatement à se dessécher au point d'impact,,"Peau se dessèche et craquelle, chair momifiée, régénération impossible, douleur constante, apparence cadavérique","La cible maudite ne peut regagner de points de vie par aucun moyen (repos, sorts, potions). Les points de vie maximum diminuent de 10 (3d6) toutes les 24 heures. Si les PV maximum tombent à 0, la créature meurt et son corps tombe en poussière.","Terreur de la mort imminente, désespoir face à l'inefficacité de toute guérison","Aspect cadavérique terrifie les autres, considéré comme condamné",Permanente jusqu'à levée,FALSE,,,"Le corps tombe en poussière, l'âme est piégée temporairement",,,,,,"Éviter les momies, ne pas profaner tombes royales, porter amulettes de protection","Aspect desséché caractéristique, Détection de la Magie révèle aura nécromantique",Lord Explorateur Durnak - mourut en 6 jours malgré présence de 5 clercs,"Terreur des explorateurs de tombes, gardien ultime des pharaons",URGENCE ABSOLUE ! Trouver clerc capable de Délivrance des Malédictions ou Restauration Supérieure IMMÉDIATEMENT. Maximum 7-10 jours avant mort certaine.,,68e2ab3089e889bc41e436c1,2025-10-05T17:30:24.731000,2025-10-05T17:30:24.731000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lycanthropie (Loup-Garou),"Malédiction de transformation forcée en loup-garou lors des pleines lunes. La victime devient un hybride homme-loup assoiffé de sang, perdant tout contrôle de ses actions.",,Sang,Majeure,,Morsure de loup-garou (humanoid uniquement),"Après la morsure, transformation lors de la prochaine pleine lune",,"Transformation en loup-garou hybride lors des pleines lunes, perte de contrôle, instincts meurtriers, pilosité excessive entre transformations","Lors de la pleine lune : transformation forcée en forme hybride (statistiques de loup-garou), perte de contrôle (MJ contrôle), attaque créatures les plus proches. Immunité aux dégâts non-magiques sauf argent. For 15, Dex 13, Con 14 en forme hybride. Vitesse 30 ft (40 ft forme loup). Attaques de morsure (1d8+2 perforants) et griffes (2d4+2 tranchants). Perception +4, Discrétion +4.","Culpabilité écrasante après transformations, peur de tuer proches, rage incontrôlable","Doit cacher nature ou être chassé, danger pour entourage, isolement forcé",Permanente,TRUE,Enfants nés sous forme de loup-garou naturel (contrôle total de transformations),Toute humanoid mordu par loup-garou et qui survit peut être infecté (jet Constitution DC 12 pour résister),Esprit rejoint grande meute éternelle,,,,,,"Éviter loups-garous, porter armes en argent, s'enfermer solidement durant pleines lunes","Wolfsbane cause réaction allergique, yeux brillent dans le noir, comportement agité près pleine lune",Toute la famille Thornwood - 7 générations de loups-garous,"Terreur ancestrale, symbole de perte de contrôle et nature sauvage",EXTRÊMEMENT DANGEREUX ! Enfermer solidement durant pleines lunes. Chaînes en argent recommandées. Prévenir autorités si perte de contrôle cause morts.,,68e2ab3089e889bc41e436c2,2025-10-05T17:30:24.731000,2025-10-05T17:30:24.731000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lycanthropie (Ours-Garou),Forme de lycanthropie transformant la victime en ours-garou massif et territorial. Plus rare que loup-garou mais plus dangereuse physiquement.,,Sang,Majeure,,Morsure ou griffure d'ours-garou,"Transformation lors de la prochaine pleine lune, force décuplée",,"Transformation en ours-garou hybride, force colossale, territorialité extrême, rage incontrôlable","Transformation forcée pleine lune : For 19, Dex 10, Con 17. CA 11 (forme hybride/ours). PV augmentent. Attaque morsure (2d10+4 perforants) et griffes (2d8+4 tranchants). Immunité dégâts non-magiques sauf argent. Perd contrôle, défend territoire agressivement.","Rage territoriale, protection violente de zone, instinct de dominance","Extrême danger pour communauté, doit vivre isolé en forêt",Permanente,TRUE,,Morsure ou griffure sur humanoid (jet Con DC 12),Esprit reste dans forêts comme gardien territorial,,,,,,"Éviter forêts avec ours-garous connus, ne jamais pénétrer territoire marqué","Force surhumaine même hors transformation, cicatrices de griffes d'ours",,,PLUS DANGEREUX que loup-garou ! Force colossale. Cage en argent renforcé obligatoire.,,68e2ab3089e889bc41e436c3,2025-10-05T17:30:24.731000,2025-10-05T17:30:24.731000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lycanthropie (Tigre-Garou),"Lycanthropie rare des régions tropicales. Le tigre-garou est un chasseur solitaire et redoutable, combinant félinité et intelligence humaine.",,Sang,Majeure,,Morsure de tigre-garou,Transformation en prédateur félin parfait,,"Transformation en tigre-garou, agilité surhumaine, instincts de chasseur apex","Transformation pleine lune : For 17, Dex 15, Con 16. Attaque morsure (1d10+3) et griffes (1d8+3). Vitesse 40 ft. Compétence Discrétion et Athlétisme. Bond : peut sauter jusqu'à 30 ft. Attaque sournoise si avantage. Immunité dégâts non-magiques sauf argent.","Instinct de chasseur solitaire, territorialité féline","Isolement, considéré comme prédateur dangereux",Permanente,TRUE,,Morsure (jet Con DC 12),,,,,,,"Éviter jungles tropicales infestées, rester vigilant la nuit",,,,Prédateur furtif ! Peut attaquer sans avertissement. Extrême dangerosité.,,68e2ab3089e889bc41e436c4,2025-10-05T17:30:24.731000,2025-10-05T17:30:24.731000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lycanthropie (Rat-Garou),"Forme de lycanthropie urbaine, moins puissante physiquement mais plus insidieuse. Les rats-garous forment des meutes criminelles dans les égouts.",,Sang,Modérée,,Morsure de rat-garou,Transformation en créature hybride rat-humain,,"Transformation en rat-garou, agilité, furtivité, attirance pour égouts","Transformation pleine lune : For 10, Dex 15, Con 12. Taille Petite possible. Attaque morsure (1d4+0 perforants). Vitesse 30 ft. Compétence Discrétion +6. Peut se faufiler (espaces de taille Petite). Immunité dégâts non-magiques sauf argent. Contrôle rats ordinaires.","Mentalité de meute, instincts voleurs, préférence obscurité","Rejoint souvent réseaux criminels, meutes urbaines",Permanente,TRUE,,Morsure (jet Con DC 11),,,,,,,"Éviter égouts, quartiers infestés de rats, combattre avec armes à distance",,,,Moins dangereux individuellement mais attaquent en meute. Risque de maladie en plus.,,68e2ab3089e889bc41e436c5,2025-10-05T17:30:24.731000,2025-10-05T17:30:24.731000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
