world_id,name,description,image_url,images,alignment,divine_rank,domains,portfolio,symbol,favored_weapon,worshipers,clergy,temples,holy_days,dogma,avatar_description,divine_spells,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
68e137a0493026cabfd05389,Chemosh,"Le Seigneur des Morts-vivants, Chemosh est le dieu de la non-mort et de la fausse vie. Il promet l'immortalité par la non-mort, séduisant ceux qui craignent la mort. Ses prêtres créent des armées de morts-vivants et cherchent à défier le cycle naturel de la vie et de la mort.",,,neutral_evil,intermediate,,"Morts-vivants, non-mort, fausse vie, profanation",Crâne jaune,Faux,"Nécromanciens, ceux qui craignent la mort, créateurs de morts-vivants",Nécromanciens-prêtres commandant des hordes de morts-vivants,Cryptes et nécropoles profanées,,"Défier la mort par la non-mort, l'immortalité à tout prix, les morts doivent servir",,,,68e138a140a65ef3172e5640,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Branchala,"Le Chanteur des Chansons, Branchala est le dieu de la musique, de la poésie et de l'inspiration artistique. Joyeux et créatif, il inspire les bardes et les artistes à créer la beauté et à apporter la joie. Sa musique peut guérir les cœurs et élever les esprits.",,,neutral_good,intermediate,,"Musique, poésie, art, inspiration, joie",Harpe,Rapière,"Bardes, musiciens, poètes, artistes, troubadours",Bardes-clercs qui voyagent et répandent la joie par leur art,Amphithéâtres et salles de spectacle servant aussi de lieux de culte,,"Créer la beauté, apporter la joie par l'art, inspirer les autres, préserver les chansons et histoires",,,,68e138a140a65ef3172e5634,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Lunitari,"La Déesse de la Magie Rouge, Lunitari est liée à la lune rouge. Elle représente la magie neutre, utilisée sans considération morale mais avec discipline. Les Robes Rouges cherchent la connaissance magique pure et le pouvoir arcanique, guidés par sa lumière rouge.",,,true_neutral,intermediate,,"Magie neutre, illusion, équilibre arcanique",Lune rouge,Dague,"Mages des Robes Rouges, illusionnistes, érudits de la magie","Ordre des Robes Rouges, mages neutres cherchant le savoir","Tour de Haute Sorcellerie de Wayreth, bibliothèques arcaniques",,"La magie est un outil, l'utiliser avec sagesse, équilibrer pouvoir et responsabilité, préserver la connaissance arcanique",,,,68e138a140a65ef3172e563c,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Morgion,"Le Dieu de la Maladie et du Désespoir, Morgion répand la pestilence, la souffrance et le désespoir. Représenté comme une figure encapuchonnée et masquée, il se délecte de la déchéance et de la maladie. Ses cultistes répandent des fléaux et exploitent les faibles.",,,neutral_evil,intermediate,,"Maladie, pestilence, souffrance, désespoir, déchéance",Capuche et masque de peste,Masse d'armes,"Cultistes de la maladie, ceux qui répandent le désespoir, parias",Prêtres masqués répandant la maladie et le désespoir,Lieux cachés dans les égouts et zones pestilentielles,,"Embrasser la souffrance, répandre la maladie, le désespoir est inévitable",,,,68e138a140a65ef3172e563f,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Solinari,"Le Dieu de la Magie Blanche, Solinari est lié à la lune blanche qui porte son nom. Il représente la magie utilisée pour le bien et la protection. Père de la magie bienfaisante, il guide les Robes Blanches de la Tour de Haute Sorcellerie et enseigne que la magie doit servir à protéger et à élever.",,,lawful_good,intermediate,,"Magie blanche, protection magique, érudition arcanique",Lune blanche,Bâton,"Mages des Robes Blanches, magiciens bienfaisants, érudits de la magie","Ordre des Robes Blanches, mages dévoués à utiliser la magie pour le bien","La Tour de Haute Sorcellerie de Wayreth, bibliothèques magiques",,"Utiliser la magie pour le bien, protéger les innocents par l'art arcanique, préserver la connaissance magique, maintenir l'équilibre des ordres",,,,68e138a140a65ef3172e5635,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Gilean,"Le Livre Gris, Gilean est le chef du panthéon neutre et le gardien de la connaissance et de l'équilibre cosmique. Il enregistre tous les événements dans le Livre du Temps et maintient la balance entre le Bien et le Mal. Impartial et sage, il valorise la vérité et la connaissance au-dessus de tout.",,,true_neutral,greater,,"Connaissance, sagesse, équilibre, histoire, bibliothèques",Livre ouvert,Bâton,"Érudits, historiens, bibliothécaires, sages, juges",Ordre d'érudits et de sages gardant les bibliothèques et l'histoire,"Grandes bibliothèques et archives, lieux de savoir",,"Rechercher la connaissance, préserver l'histoire, maintenir l'équilibre, la vérité avant tout",,,,68e138a140a65ef3172e5636,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Hiddukel,"Le Prince des Mensonges, Hiddukel est le dieu de la tromperie, des faux marchés et de la cupidité. Il encourage les transactions malhonnêtes, la trahison et l'avarice. Chaque marché avec lui cache un piège, et ses adorateurs apprennent l'art de la manipulation et de la corruption.",,,chaotic_evil,intermediate,,"Tromperie, faux marchés, cupidité, trahison, corruption",Balance rouillée,Dague,"Escrocs, marchands malhonnêtes, traîtres, manipulateurs",Prêtres-escrocs répandant la corruption et faisant de faux marchés,Cachés dans les marchés noirs et lieux de corruption,,"Tout a un prix, la tromperie est un art, les accords sont faits pour être brisés",,,,68e138a140a65ef3172e5642,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Habbakuk,"Le Seigneur Phœnix, Habbakuk est le dieu de la nature, des animaux et de la renaissance. Il représente les cycles naturels de la vie, la persistance et la loyauté. Patron des rangers et des druides bienveillants, il protège les créatures sauvages et enseigne l'harmonie avec la nature.",,,neutral_good,intermediate,,"Animaux, chasse, loyauté, renaissance, cycles naturels",Phénix bleu,Lance,"Rangers, druides, chasseurs, marins, amoureux de la nature",Druides et rangers qui protègent la faune et maintiennent l'équilibre naturel,"Bosquets sacrés en pleine nature, rarement des structures construites",,"Respecter toute vie, maintenir l'équilibre naturel, protéger les innocents, la loyauté est sacrée",,,,68e138a140a65ef3172e5633,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Chislev,"La Déesse de la Nature Sauvage, Chislev représente les forces brutes et incontrôlées de la nature. Contrairement à Habbakuk qui favorise l'harmonie, elle incarne la nature dans sa splendeur et sa cruauté, les tempêtes comme les printemps. Elle est à la fois nourricière et destructrice.",,,true_neutral,intermediate,,"Nature sauvage, climats, survie du plus fort, cycles naturels",Feuille de chêne,Javeline,"Druides, barbares, ceux qui vivent dans la nature",Druides qui protègent les terres sauvages contre la civilisation,"Sites naturels sacrés : montagnes, forêts anciennes, grottes",,"Respecter la force de la nature, accepter les cycles de vie et mort, préserver les lieux sauvages",,,,68e138a140a65ef3172e5639,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Paladine,"Chef du panthéon du Bien, Paladine est le dieu de la protection, de la rédemption et de la noblesse. Représenté comme un dragon de platine majestueux ou un vieux sage, il est le patron des Chevaliers de Solamnia et le gardien de la justice. Il s'est autrefois manifesté sous la forme de Fizban le Fabuleux pour guider les Héros de la Lance.",,,lawful_good,greater,,"Dirigeants, gardiens, chevaliers, rédemption, dragons métalliques",Triangle d'argent,Épée longue,"Chevaliers de Solamnia, paladins, guerriers vertueux, dirigeants justes",Ordre strictement hiérarchisé de paladins et de clercs dévoués à la justice et à la protection des innocents,"Grandes cathédrales majestueuses en marbre blanc avec tours et vitraux, souvent fortifiées",,"Protéger les faibles, défendre la justice, offrir la rédemption même aux plus égarés, combattre le mal avec honneur et courage",,,,68e138a140a65ef3172e562f,2025-10-04T15:09:21.126000,2025-10-04T15:09:21.126000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
