country_id,type,name,description,image_url,population,government,economy,notable_locations,notable_npcs,services,threats,history,secrets,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
68e13a04dfb8072ecadb50ea,other,Tour de Wayreth,"La Tour de Wayreth est la dernière des cinq Tours de Haute Sorcellerie encore accessible. Elle existe dans une forêt mobile qui n'apparaît que pour ceux qui sont appelés par la magie. C'est ici que tous les mages doivent passer le Test de Haute Sorcellerie avant d'être acceptés dans l'un des trois ordres (Robes Blanches, Rouges ou Noires). Le Test est mortel et beaucoup n'en reviennent pas. La tour est dirigée par le Conclave des Mages, composé de représentants des trois ordres.",,,"Le Conclave (7 mages: 2 Blancs, 2 Rouges, 2 Noirs, 1 Chef)",,,,,,,La tour contient des artefacts magiques puissants et des secrets millénaires,,68e13c13426be75f953d442f,2025-10-04T15:24:03.814000,2025-10-04T15:24:03.814000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50ea,fortress,Haut Clerist,"Le Haut Clerist est une forteresse massive gardant le col de montagne qui mène à Palanthas. C'est l'une des plus importantes défenses de Solamnia. Durant la Guerre des Lances, c'est ici que Sturm Brightblade, Chevalier de Solamnia et Héros de la Lance, sacrifia sa vie en combat singulier contre un Seigneur des Dragons, sauvant ainsi Palanthas. La forteresse est désormais un lieu de pèlerinage pour les Chevaliers.",,,Commandant militaire des Chevaliers de Solamnia,,,,,,Site de la bataille légendaire où Sturm Brightblade est mort héroïquement,,,68e13c13426be75f953d4430,2025-10-04T15:24:03.814000,2025-10-04T15:24:03.814000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50eb,city,Qualinost,"Qualinost est la magnifique capitale de Qualinesti, une cité elfique d'une beauté à couper le souffle. Les bâtiments sont sculptés dans les arbres vivants ou construits en harmonie parfaite avec la forêt. Des ponts gracieux enjambent les rivières, et des jardins enchantés fleurissent partout. Le Palais du Locuteur du Soleil, fait de quartz blanc et d'or, est au cœur de la cité. Qualinost fut occupée par les dragons et les draconiens durant la Guerre des Lances, forçant les elfes à fuir.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/2da45e2cd_Qualinost.png,50 000 elfes,Locuteur du Soleil et le Thalas-Enthia (conseil),"Artisanat elfique, bijoux, arcs, herboristerie",,,"Artisans elfiques, herboristes, archives, temples de Paladine et des dieux elfiques",,,,,68e13c13426be75f953d4427,2025-10-04T15:24:03.814000,2025-11-13T14:29:06.422000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50ed,city,Thorbardin,"Thorbardin est la légendaire cité souterraine des nains, creusée dans les profondeurs des Montagnes Kharolis. Cette merveille d'ingénierie naine s'étend sur des kilomètres sous la montagne, avec d'immenses cavernes illuminées par des champignons lumineux et de la lave canalisée. Six clans nains y cohabitent: Hylar, Daewar, Klar, Theiwar, Daergar et Aghar. La cité est pratiquement imprenable, accessible seulement par des passages secrets gardés. Les forges de Thorbardin produisent les meilleures armes et armures de tout Krynn.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/289b27eec_Thorbadin.png,500 000 nains,Conseil des Thanes (six clans),"Forge d'armes et armures légendaires, extraction minière, artisanat de pierre et métal",,,"Forges de qualité légendaire, mines, marchés internes limités",,"Construite avant le Cataclysme, a fermé ses portes aux réfugiés après la catastrophe causant la Guerre des Nains",,,68e13c13426be75f953d4429,2025-10-04T15:24:03.814000,2025-11-13T14:18:32.555000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50ee,city,Haven,"Haven est la principale cité d'Abanasinia, un centre commercial et refuge pour les voyageurs. Située au carrefour de routes importantes, la cité a grandi comme un lieu de rencontre entre différentes cultures. Haven a été occupée par les forces draconiennes durant la Guerre des Lances mais a été libérée par la résistance.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/b8794f43a_Haven.png,15 000 habitants,Conseil municipal élu,"Commerce de caravanes, agriculture, artisanat",,,"Auberges nombreuses, marchés, forges, temples divers",,"Fondée après le Cataclysme comme refuge, centre de la résistance durant la Guerre des Lances",,,68e13c13426be75f953d4424,2025-10-04T15:24:03.814000,2025-11-13T14:32:42.703000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50ec,city,Silvanost,"Silvanost est l'ancienne capitale de Silvanesti, considérée comme la plus belle cité jamais construite sur Krynn. L'architecture est sublime, avec des tours de cristal qui chantent dans le vent, des jardins qui changent de forme selon les saisons, et des palais qui semblent avoir poussé de la terre elle-même. Durant la Guerre des Lances, le Locuteur Lorac Caladon utilisa un orbe de dragon qui transforma la forêt en cauchemar vivant. La cité fut lentement restaurée après.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/ab8a895e9_Silvanost.png,40 000 elfes,Locuteur des Étoiles et la Synthal-Elish (conseil des nobles),"Artisanat elfique de la plus haute qualité, magie, isolationnisme commercial",,,,Vestiges du Cauchemar de Lorac dans certaines zones,"Capitale millénaire des hauts elfes, corrompue par l'orbe de dragon, lentement restaurée",,,68e13c13426be75f953d4428,2025-10-04T15:24:03.814000,2025-11-13T14:36:32.200000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50ea,city,Palanthas,"Palanthas est la plus grande et la plus belle cité d'Ansalon, surnommée la Joyau du Nord. Avec ses tours élégantes, ses larges avenues et son architecture majestueuse, c'est un centre culturel, commercial et politique majeur. La Grande Bibliothèque d'Astinus contient l'histoire complète de Krynn, écrite par Astinus l'Éternel. Le Haut Clerist, une forteresse légendaire, garde le col menant à Palanthas. La cité abrite aussi l'Ordre de la Rose des Chevaliers de Solamnia.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/d82fb0c42_Palanthas.png,200 000 habitants,Sénéchal nommé par les Chevaliers de Solamnia,"Commerce maritime majeur, centre d'érudition, artisanat de luxe, port prospère",,,"Tous services disponibles, port majeur, bibliothèque, temples de toutes les bonnes divinités, artisans de qualité",,"Fondée avant le Cataclysme, a survécu comme centre de civilisation, site de batailles majeures durant la Guerre des Lances",,,68e13c13426be75f953d4420,2025-10-04T15:24:03.814000,2025-11-13T14:40:26.423000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50ee,village,Solace,"Solace est un village unique construit dans les branches des immenses arbres vallenwood. Les maisons sont construites sur des plateformes dans les arbres, reliées par des ponts et des escaliers. C'est ici, à l'Auberge du Dernier Refuge, que les Héros de la Lance se sont retrouvés et ont commencé leur quête légendaire. Le village est devenu un symbole d'espoir et de camaraderie.",,2 000 habitants,Conseil des Anciens du village,"Auberge célèbre, commerce local, artisanat du bois",,,"Auberge du Dernier Refuge (célèbre pour ses patates épicées d'Otik), petit marché, forge locale",,"Berceau des Héros de la Lance, détruit puis reconstruit durant la Guerre des Lances",,,68e13c13426be75f953d4423,2025-10-04T15:24:03.814000,2025-10-04T15:24:03.814000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50f6,city,Tarsis,"Tarsis était autrefois un grand port maritime, l'une des cités les plus prospères d'Ansalon. Le Cataclysme a retiré la mer, laissant Tarsis échouée à des kilomètres de la côte, au milieu d'une plaine poussiéreuse. Les grands navires de pierre gisent maintenant dans les rues, monuments de la gloire passée. Malgré ce désastre, Tarsis a survécu comme cité commerciale sur les routes terrestres. Durant la Guerre des Lances, la cité fut attaquée par des dragons rouges, causant de lourdes destructions.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/c7f4f6875_Tarsis2.png,25 000 habitants,Seigneur de la cité,"Commerce caravanier, artisanat, tourisme des ruines",,,,,"Grand port avant le Cataclysme, échouée par le retrait des mers, site de bataille durant la Guerre des Lances",,,68e13c13426be75f953d442c,2025-10-04T15:24:03.814000,2025-11-13T14:44:22.085000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e13a04dfb8072ecadb50f0,village,Hylo,Hylo est un village kender pittoresque connu pour ses festivals constants et ses habitants particulièrement aventureux même selon les standards kenders. Le village célèbre le Festival du Printemps Éternel qui semble durer toute l'année.,,5 000 kenders,,"Festivals, artisanat, récits d'aventures",,,,,,,,68e13c13426be75f953d442b,2025-10-04T15:24:03.814000,2025-10-04T15:24:03.814000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
