name,description_text,image_url,type,rarity,habitat,formation,appearance,properties,magical_properties,uses,extraction_method,extraction_difficulty,processing,market_value,weight,hardness,dangers,side_effects,combinations,lore,cultural_significance,id,created_date,updated_date,created_by_id,created_by,is_sample,world_id
Ambre Solidifié,De l'ambre ancien contenant parfois des insectes préhistoriques. Excellent conducteur de magie temporelle.,,Gemme,Peu commun,Anciennes forêts fossilisées,Résine d'arbres anciens solidifiée sur des millions d'années,Pierre translucide orange-dorée,,Permet de ralentir ou accélérer le temps localement,,Extraction délicate à la main,Moyen,,30,20g,2,,,,,,68e283fc5774f0a395e9d921,2025-10-05T14:43:08.754000,2025-10-05T14:43:08.754000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Obsidienne Magique,Une obsidienne noire comme la nuit qui absorbe la lumière et la magie négative.,,Pierre précieuse,Peu commun,"Volcans éteints, coulées de lave anciennes",Lave refroidie rapidement imprégnée de magie,Pierre noire brillante aux reflets violets,,Absorbe et repousse la magie noire,,Taille avec des outils en diamant,Moyen,,25,50g,5,,,,,,68e283fc5774f0a395e9d922,2025-10-05T14:43:08.754000,2025-10-05T14:43:08.754000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Cristal de Foudre,Un cristal formé là où la foudre a frappé du sable. Crépite d'électricité statique en permanence.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/ea6a85e52_CristaldeFoudre.png,Cristal,Rare,"Déserts, plaines sablonneuses après orages",Sable vitrifié par la foudre,Cristal blanc transparent avec des veines électriques bleues,,Stocke et libère de l'électricité,,Récolte avec des gants isolants,Difficile,,90,30g,,Peut causer des décharges électriques,,,,,68e283fc5774f0a395e9d923,2025-10-05T14:43:08.754000,2025-11-15T13:36:49.487000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Sel Marin Consacré,Du sel de mer béni par des prêtres. Purifie et repousse les morts-vivants.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/6383d3b2c_Selmarinconsacr.png,Sel minéral,Commun,"Marais salants, temples en bord de mer",Évaporation d'eau de mer puis bénédiction,Cristaux blancs brillants,,Propriétés de purification et protection,,Récolte dans les marais salants puis bénédiction,Facile,,2,100g,,,,,,,68e283fc5774f0a395e9d924,2025-10-05T14:43:08.754000,2025-11-15T13:33:43.074000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Pépite de Mithril,Un métal argenté extrêmement léger et résistant. Très prisé pour l'alchimie de transformation.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/fa92a031c_PpitedeMithril.png,Pépite,Très rare,Mines naines profondes,Minerai rare trouvé dans les profondeurs,"Métal argenté brillant, très léger",,Facilite les transformations alchimiques,,Minage dans les veines de mithril,Très difficile,,300,10g,8,,,,,,68e283fc5774f0a395e9d925,2025-10-05T14:43:08.754000,2025-11-15T13:39:00.808000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Soufre Vivant,Du soufre qui semble pulser comme s'il était vivant. Extrait des profondeurs infernales.,,Substance alchimique,Rare,"Cratères volcaniques, portails infernaux",Soufre imprégné d'énergie infernale,Cristaux jaunes pulsants,,Amplifie les effets de feu et de destruction,,Récolte avec protection contre la chaleur,Difficile,,70,25g,,"Émanations toxiques, chaleur extrême",,,,,68e283fc5774f0a395e9d926,2025-10-05T14:43:08.754000,2025-10-05T14:43:08.754000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Poudre de Pierre de Lune,Une poudre argentée obtenue en broyant finement des pierres de lune. Brille doucement dans l'obscurité et amplifie les propriétés magiques.,,Poudre,Peu commun,"Grottes lunaires, mines profondes",Se forme dans les cavernes exposées à la lumière de la pleine lune,Poudre argentée scintillante,,Amplifie les effets de guérison et de régénération,,Broyer les pierres de lune avec un mortier en argent,Moyen,Tamisage fin pour obtenir une poudre uniforme,35,10g par dose,6,,,,,,68e281d8c6f4ec5cd17e2a38,2025-10-05T14:34:00.696000,2025-10-05T14:34:00.696000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Cristal de Glace Éternelle,"Un cristal qui ne fond jamais, même exposé au feu. Utilisé pour créer des potions de résistance au froid.",,Cristal,Rare,"Sommets montagneux, glaciers éternels",Eau pure gelée par magie ancienne,"Cristal bleu translucide, toujours glacé",,Confère une résistance au froid,,Extraction à la pioche magique,Très difficile,,80,50g,,,,,,,68e281d8c6f4ec5cd17e2a39,2025-10-05T14:34:00.696000,2025-10-05T14:34:00.696000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Sel de Soufre Noir,"Un sel rare d'un noir profond qui sent le soufre. Extrait des volcans actifs, il est essentiel pour créer des poisons puissants.",,Sel minéral,Rare,"Volcans actifs, fumerolles",Dépôts de gaz volcaniques condensés,"Cristaux noirs brillants, odeur sulfureuse",,Amplifie les effets toxiques,,Récolte près des fumerolles avec des protections,Très difficile,,60,20g par dose,,"Inhalation toxique, brûlures",,,,,68e281d8c6f4ec5cd17e2a3a,2025-10-05T14:34:00.696000,2025-10-05T14:34:00.696000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Poussière d'Étoile,"Une substance scintillante tombée des météorites. Extrêmement rare et magique, elle peut transformer n'importe quelle potion en élixir légendaire.",,Poudre,Légendaire,Cratères de météorites,Résidu de météorites magiques,Poudre iridescente qui change de couleur,,Transforme les potions ordinaires en potions légendaires,,Récolte manuelle après impact de météorite,Très difficile,,500,1g par dose,,,,,,,68e281d8c6f4ec5cd17e2a3b,2025-10-05T14:34:00.696000,2025-10-05T14:34:00.696000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
