name,description_text,image_url,type,rarity,habitat,climate,season,properties,effects,preparation,parts_used,harvest_difficulty,market_value,toxicity_level,antidote,magical_uses,growth_time,cultivable,warnings,lore,id,created_date,updated_date,created_by_id,created_by,is_sample,world_id
Houblon Doré,Cônes verts parfumés utilisés pour brasser la bière. Amertume caractéristique.,,Plante médicinale,Commun,"Jardins de brasserie, treilles",Tempéré,Fin d'été,,,Infusion ou brassage,,Facile,3,Non toxique,,,,FALSE,,Essentiel à tout bon brasseur de bière.,68e2973d62ee4dfd14fa1bf8,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Raisin de Vignoble,Grappes de raisins juteux pour faire le vin. Variétés rouges et blanches.,,Comestible,Commun,Vignobles ensoleillés,Tempéré,Automne,,,Fermentation en vin ou consommation fraîche,,Facile,5,Non toxique,,,,FALSE,,Base de tous les grands vins.,68e2973d62ee4dfd14fa1bf9,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Orge Malté,Grain germé et torréfié pour le brassage. Base de la bière.,,Comestible,Commun,Champs cultivés,Tempéré,Été,,,Maltage puis brassage,,Facile,2,Non toxique,,,,FALSE,,L'âme de toute bonne bière.,68e2973d62ee4dfd14fa1bfa,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Café des Îles,Grains sombres torréfiés au parfum intense. Stimulant puissant.,,Comestible,Peu commune,Plantations tropicales lointaines,Tropical,Toute l'année,,,Moudre et infuser,,Moyen,10,Non toxique,,,,FALSE,,Boisson favorite des érudits et veilleurs nocturnes.,68e2973d62ee4dfd14fa1bfb,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Gingembre de Feu,Racine piquante et chaude. Propriétés réchauffantes et digestives.,,Plante médicinale,Peu commune,Régions tropicales humides,Tropical,Toute l'année,,,Râper ou trancher pour infusion,,Moyen,4,Non toxique,,,,FALSE,,Remède traditionnel contre le froid et les maux d'estomac.,68e2973d62ee4dfd14fa1bfc,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Pomme Douce,Pommes juteuses et sucrées. Parfaites pour le cidre.,,Comestible,Commun,Vergers,Tempéré,Automne,,,Pression pour jus ou cidre,,Facile,1,Non toxique,,,,FALSE,,Fruit universel des vergers.,68e2973d62ee4dfd14fa1bfd,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Cannelle d'Orient,Écorce aromatique enroulée. Parfum chaud et sucré.,,Aromate,Peu commune,Forêts tropicales lointaines,Tropical,Toute l'année,,,Infusion ou poudre,,Difficile,8,Non toxique,,,,FALSE,,Épice précieuse des routes commerciales.,68e2973d62ee4dfd14fa1bfe,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Cardamome Verte,Petites gousses vertes au parfum complexe. Épice noble.,,Aromate,Rare,Sous-bois tropicaux,Tropical,Toute l'année,,,Écraser les gousses pour libérer l'arôme,,Difficile,15,Non toxique,,,,FALSE,,La reine des épices dans certaines cultures.,68e2973d62ee4dfd14fa1bff,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Hibiscus Pourpre,Fleurs rouge foncé qui donnent une infusion rubis. Acidulée et rafraîchissante.,,Plante médicinale,Commun,Jardins tropicaux,Tropical,Été,,,Infusion chaude ou froide,,Facile,2,Non toxique,,,,FALSE,,Boisson traditionnelle des déserts.,68e2973d62ee4dfd14fa1c00,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Baie de Genièvre,Petites baies bleu-noir au goût résineux. Aromatisent le gin.,,Aromate,Commun,"Landes, collines",Tous climats,Automne,,,Macération dans l'alcool,,Facile,3,Non toxique,,,,FALSE,,Âme du gin et de nombreuses liqueurs.,68e2973d62ee4dfd14fa1c01,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
