name,description_text,image_url,type,cuisine_style,difficulty,difficulty_dc,preparation_time,cooking_time,total_time,servings,ingredients,ingredients_total_cost,required_tools,cooking_steps,special_effects,effects_duration,addiction_risk,addiction_threshold,positive_effects_degradation,addiction_effects,withdrawal_symptoms,taste_description,appearance,aroma,texture,serving_suggestion,pairing,storage_conditions,shelf_life,market_value,cultural_significance,history,variations,tips,warnings,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Bière Blonde Artisanale,Bière dorée rafraîchissante. Goût de malt et houblon équilibré.,,Boisson,Naine,Moyen,14,2 heures,14 jours (fermentation),14 jours,20,,15,"Cuve de brassage, fermenteur, tonneaux",,"PREMIÈRE CONSOMMATION: +1 Charisme, -1 Sagesse pendant 1 heure. CONSOMMATION RÉGULIÈRE (1ère semaine): Effets identiques. ACCOUTUMANCE (2ème semaine): +0 Charisme, -2 Sagesse. DÉPENDANCE (1 mois+): Aucun bonus, -3 Sagesse, -1 Constitution.",1 heure par chope,Modéré,3 chopes par jour pendant 14 jours consécutifs,Les bonus de Charisme disparaissent progressivement. Après 1 semaine de consommation quotidienne: +1 devient +0. Après 2 semaines: disparaît totalement. Après 1 mois: le buveur ne boit plus pour le plaisir mais pour éviter les symptômes de sevrage.,"ACCOUTUMANCE LÉGÈRE (14-30 jours): -1 Constitution au réveil, besoin d'une chope pour 'fonctionner normalement'. ACCOUTUMANCE MODÉRÉE (1-3 mois): -2 Constitution, -1 Sagesse permanents, tremblements sans alcool, besoin de 3+ chopes/jour. DÉPENDANCE SÉVÈRE (3+ mois): -2 Constitution, -2 Sagesse, -1 Force permanents, comportement agressif sans alcool, besoin de 6+ chopes/jour.","SEVRAGE LÉGER (1-3 jours): Maux de tête (-2 Concentration), irritabilité, sudation. SEVRAGE MODÉRÉ (4-7 jours): Tremblements (-2 Dextérité), anxiété sévère, insomnie. SEVRAGE SÉVÈRE (1-2 semaines): Hallucinations, risque de convulsions (JdS Constitution DC 15 ou 2d6 dégâts), delirium tremens. Nécessite soins médicaux et potion de restauration.","Malté, légèrement amer, rafraîchissant",Dorée brillante avec belle mousse blanche,"Houblon frais, pain grillé","Pétillante, mousse crémeuse",Servir fraîche (8°C) dans une chope,"Charcuterie, fromages, viandes grillées","Au frais, à l'abri de la lumière",6 mois en fût,1,"Boisson sacrée des nains, brassée pour chaque fête",Recette transmise de maître brasseur en apprenti depuis des siècles,,La température de fermentation est cruciale. Un échec au jet peut donner des arômes désagréables.,Consommation excessive peut mener à l'alcoolisme. Les nains ont développé une résistance naturelle (+4 JdS Constitution contre accoutumance).,Les nains considèrent qu'un bon brasseur est un artiste. Certains clans organisent des cures de désintoxication pour leurs guerriers avant les grandes batailles.,68e299b29d039fe429249d74,2025-10-05T16:15:46.638000,2025-10-05T16:15:46.638000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Vin Rouge des Collines,Vin rubis profond aux tanins veloutés. Élégant et complexe.,,Boisson,Elfique,Difficile,18,1 journée,90 jours (fermentation + vieillissement),90 jours,50,,53,"Pressoir, cuves de fermentation, fûts de chêne, bouteilles",,"PREMIÈRE DÉGUSTATION: +2 Charisme, +1 Sagesse pour interactions sociales pendant 2 heures. 1-2 SEMAINES (consommation modérée, 1 verre/jour): Effets complets. 2-4 SEMAINES (1-2 verres/jour): +1 Charisme, +0 Sagesse. 1-2 MOIS (consommation quotidienne): +0 Charisme, -1 Constitution. DÉPENDANCE (3+ mois, plusieurs verres/jour): Aucun bonus, -2 Charisme (haleine), -2 Constitution, +besoin psychologique.",2 heures par verre,Élevé,"2 verres par jour pendant 21 jours consécutifs, ou 1 bouteille entière 3 fois par semaine pendant 1 mois","Les bonus sociaux diminuent rapidement. Après 2 semaines: bonus Sagesse disparaît. Après 1 mois: bonus Charisme devient malus (-1). Après 2 mois: le buveur a besoin de vin pour toute interaction sociale, sinon désavantage. Après 3 mois: le foie commence à être endommagé, -1 Constitution permanent jusqu'à soins magiques de restauration supérieure.","ACCOUTUMANCE LÉGÈRE (3-6 semaines): Besoin psychologique lors d'événements sociaux, léger tremblement des mains le matin. ACCOUTUMANCE MODÉRÉE (2-4 mois): -1 Constitution permanent, visage rougeaud, besoin de 3-4 verres/jour minimum, dépenses excessives en vin (jusqu'à 50% des revenus). DÉPENDANCE SÉVÈRE (6+ mois): -2 Constitution, -1 Charisme permanents, dommages hépatiques, risque de cirrhose, désocialisation, priorité au vin sur tout le reste.","SEVRAGE LÉGER (1-5 jours): Irritabilité extrême, insomnie, transpiration nocturne, besoin irrépressible. SEVRAGE MODÉRÉ (5-14 jours): Tremblements importants (-3 Dextérité), anxiété handicapante (désavantage à tous jets sociaux), maux de tête sévères, nausées. SEVRAGE SÉVÈRE (2-4 semaines): Dépression majeure, hallucinations, risque de suicide (JdS Sagesse DC 18 chaque jour ou comportement autodestructeur), convulsions possibles. Nécessite accompagnement d'un clerc ou druide + potions de restauration + Calme des émotions quotidien.","Fruits rouges mûrs, tanins soyeux, notes de chêne",Rouge rubis profond avec reflets pourpres,"Cerise, mûre, vanille, épices douces","Velouté, rond en bouche","Carafer 1 heure avant, servir à 16-18°C","Viandes rouges, gibier, fromages affinés","Couché, à l'abri de la lumière, 12-14°C",5-20 ans selon millésime,2,Les elfes célèbrent leurs 100 ans avec un vin du même millésime. Certains elfes viticulteurs de 500 ans sont tombés dans l'alcoolisme.,Art millénaire transmis par les hauts-elfes. Les premiers cas d'alcoolisme elfique documentés datent de l'an 2000 du Deuxième Âge.,Peut être fait avec raisins blancs pour vin blanc (accoutumance identique),Chaque étape demande précision. Un échec critique peut transformer le vin en vinaigre.,"La noblesse et le raffinement du vin masquent sa dangerosité. Beaucoup de nobles sont devenus alcooliques en pensant que 'le vin ce n'est pas vraiment de l'alcool'. Les elfes, malgré leur longévité, ne sont PAS immunisés à l'alcoolisme - leur longue vie peut même aggraver les dégâts.",Les ordres religieux ont développé des rituels de purification pour aider les alcooliques. Certains monastères sont spécialisés dans les cures de désintoxication.,68e299b29d039fe429249d75,2025-10-05T16:15:46.638000,2025-10-05T16:15:46.638000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Hydromel des Dieux,Breuvage sacré fermenté au miel. Doré et capiteux.,,Boisson,Nordique,Moyen,15,3 heures,60 jours,60 jours,30,,65,"Grande marmite, fermenteur, bouteilles",,"PREMIÈRE CORNE: +1 Constitution, +2 Charisme, Résistance au froid 1 heure, sensation de puissance divine. 1ÈRE SEMAINE (usage quotidien): Effets pleins mais début d'euphorie excessive. 2-3 SEMAINES: +1 Constitution, +1 Charisme, résistance réduite (30 min). 1-2 MOIS: +0 Constitution, +0 Charisme, résistance disparaît, besoin de 2-3 cornes pour sentir l'effet. DÉPENDANCE (3+ mois): Malus -1 Constitution et Charisme sans hydromel, besoin de 5+ cornes/jour, comportement de berserker incontrôlé.",2 heures par corne,Très élevé,"1 corne par jour pendant 14 jours, ou 2+ cornes 3 fois par semaine pendant 3 semaines. ATTENTION: Les guerriers berserkers ont un risque DOUBLÉ.","Dégradation rapide et dangereuse. Semaine 1: Effets complets mais euphorie excessive mène à comportements risqués. Semaine 2-3: Besoin de doses croissantes, les effets positifs diminuent de 50%. Mois 2: Effets positifs quasi-nuls mais le besoin psychologique est immense. Mois 3+: Le guerrier ne peut plus combattre sans hydromel, perd tous ses bonus raciaux de résistance, devient dépendant au point de trahir son clan pour de l'hydromel.","ACCOUTUMANCE LÉGÈRE (2-4 semaines): Besoin avant chaque combat, agressivité accrue (+2 aux jets pour intimider, -2 en persuasion), début de tolérance. ACCOUTUMANCE MODÉRÉE (1-3 mois): -1 Constitution permanent, comportement imprévisible et violent, besoin de 4-5 cornes/jour, dépenses ruineuses (1-2 PO/jour), relations sociales détériorées. DÉPENDANCE SÉVÈRE (4+ mois): -2 Constitution, -1 Sagesse permanents, rage berserker incontrôlée SANS hydromel (attaque alliés, JdS Sagesse DC 16), foie endommagé, peut mourir d'arrêt cardiaque en combat (JdS Constitution DC 14 si combat intense).","SEVRAGE LÉGER (1-4 jours): Rage incontrôlée (attaque tout ce qui bouge, JdS Sagesse DC 14 chaque heure ou attaque l'allié le plus proche), tremblements violents, sudation excessive, hallucinations mineures (voit des ennemis). SEVRAGE MODÉRÉ (5-10 jours): Convulsions (2d8 dégâts/jour, JdS Constitution DC 15), hallucinations majeures (combat des ennemis imaginaires), force surhumaine incontrôlée (risque de se blesser), peut nécessiter des chaînes. SEVRAGE SÉVÈRE (2-3 semaines): Risque mortel de crise cardiaque (JdS Constitution DC 18 chaque jour ou mort subite), delirium tremens avec visions de Ragnarök, doit être maintenu en état de Sommeil magique ou risque de tuer quelqu'un. Nécessite ABSOLUMENT: prêtre d'Odin ou druide de haut niveau + Restauration supérieure + Apaisement des émotions permanent + chaînes enchantées.","Sucré miellé, épicé, chaleureux, capiteux","Doré ambré, brillant, presque lumineux","Miel, épices douces, notes florales puissantes","Onctueux, légèrement sirupeux, forte teneur en alcool","Servir dans des cornes à boire, frais ou chaud selon saison","Viandes rôties, sanglier, hydromel DE COMBAT (boire avant bataille)","Bouteilles couchées, au frais ou dans les caves glacées","Plusieurs années, s'améliore avec l'âge (et devient plus addictif)",3,Boisson des banquets vikings et cérémonies sacrées. Les plus grands guerriers sont souvent les plus grands alcooliques. Les clans ont des 'salles de repos' pour les guerriers en sevrage.,"Considéré comme le nectar des dieux nordiques. Selon la légende, Odin lui-même aurait combattu son addiction à l'hydromel pendant 9 jours et 9 nuits pendu à Yggdrasil.",,"Le ratio miel/eau détermine la force finale. Plus c'est fort, plus c'est addictif. Les maîtres brasseurs ajoutent volontairement moins de miel dans l'hydromel quotidien.",EXTRÊMEMENT DANGEREUX. Plus addictif que la bière ou le vin de par sa charge symbolique et son usage rituel avant le combat. Un guerrier dépendant perd son honneur et peut être banni du clan. Les clans nordiques ont des 'gardiens de la sobriété' (guerriers en rétablissement) qui surveillent les consommations excessives. Certains jarls interdisent l'hydromel hors des fêtes sacrées.,"Meilleur après 6 mois de vieillissement, mais aussi plus dangereux. Certains clans organisent des cérémonies de 'dernier hydromel' pour les guerriers qui jurent d'arrêter. Les temples d'Odin offrent des sanctuaires de désintoxication, mais le taux de rechute est de 70%.",68e299b29d039fe429249d76,2025-10-05T16:15:46.638000,2025-10-05T16:15:46.638000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cidre Pétillant des Vergers,Cidre effervescent aux pommes. Fruité et désaltérant.,,Boisson,Halfeline,Facile,12,4 heures,21 jours,21 jours,25,,17.5,"Pressoir, fermenteur, bouteilles résistantes à pression",,"PREMIÈRE CHOPE: +1 Dextérité, légère euphorie, sociabilité accrue pendant 1 heure. USAGE MODÉRÉ (1-2 semaines, 1-2 chopes/jour): Effets identiques. ACCOUTUMANCE (3-4 semaines, 2-3 chopes/jour): +0 Dextérité, euphorie se transforme en besoin. DÉPENDANCE (2+ mois, 4+ chopes/jour): Aucun bonus, -1 Dextérité au réveil sans cidre, léger embonpoint (-1 Dextérité supplémentaire après 6 mois).",1 heure par chope,Faible,3 chopes par jour pendant 30 jours consécutifs. Les halfelins ont une résistance naturelle (+2 JdS Constitution contre accoutumance au cidre).,"Dégradation lente et progressive. Le cidre est moins addictif que bière/vin mais l'accoutumance est insidieuse. Semaine 1-2: Effets complets. Semaine 3-6: Bonus Dextérité diminue à +0. Mois 2-3: Le buveur ne ressent plus d'euphorie mais continue de boire par habitude. Mois 4+: Prise de poids due au sucre et à l'alcool, -1 Dextérité permanent (réversible avec exercice).","ACCOUTUMANCE LÉGÈRE (1-2 mois): Habitude de boire du cidre à chaque repas, léger inconfort sans cidre mais gérable. ACCOUTUMANCE MODÉRÉE (3-6 mois): Besoin de 3-4 chopes/jour, irritabilité sans cidre, début de prise de poids (ventre rond halfelin), dépenses régulières en cidre (5-10% des revenus). DÉPENDANCE LÉGÈRE (6+ mois): Consommation de 5-6 chopes/jour, -1 Dextérité permanent dû au poids, l'alcool fait partie du rituel quotidien incontournable. Rarement mortel mais impact sur qualité de vie.","SEVRAGE LÉGER (3-7 jours): Irritabilité modérée, manque psychologique (envie de cidre aux repas), légères sueurs nocturnes. SEVRAGE MODÉRÉ (1-2 semaines): Sautes d'humeur, anxiété légère, insomnie, besoin de compenser par d'autres boissons sucrées. SEVRAGE LONG TERME (2-4 semaines): Déprime passagère, ennui profond (le cidre était une source de plaisir quotidien), mais symptômes gérables sans assistance médicale. Peut nécessiter soutien de la communauté halfeline (très soudée).","Fruité, légèrement acidulé, rafraîchissant","Jaune paille brillant, bulles fines","Pomme fraîche, notes florales délicates","Pétillant, léger en bouche",Servir bien frais (6-8°C) dans des chopes en bois,"Fromages, tarte aux pommes, crêpes, plats halfelins","Debout, au frais",1 an,0.8,Boisson traditionnelle des fêtes de la récolte des halfelins. Certains villages halfelins organisent des 'mois sans cidre' pour prévenir l'alcoolisme communautaire.,Tradition millénaire halfeline. Les anciens racontent l'histoire de Grand-père Toby qui buvait 12 chopes/jour et ne pouvait plus monter les escaliers de son terrier.,,"Attention à la pression en bouteille, risque d'explosion si trop de sucre. Les halfelins ont développé des 'bouteilles de sécurité' avec valve de surpression.","Moins dangereux que bière ou vin mais l'accoutumance est sournoise. Le sucre + alcool créent une double dépendance (goût sucré + alcool). Les halfelins corpulents sont souvent victimes de consommation excessive de cidre pendant des années. 'Un halfelin mince est soit malade, soit il ne boit pas de cidre' - proverbe halfelin.",Les halfelins organisent des concours du meilleur cidre. Les communautés halfelins sont très solidaires et aident les leurs en cas d'abus. Les 'Amis du Cidre Modéré' est une association halfeline qui promeut la consommation responsable.,68e299b29d039fe429249d77,2025-10-05T16:15:46.638000,2025-10-05T16:15:46.638000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Grog du Pirate,Rhum chaud épicé. Réchauffe le corps et l'esprit.,,Boisson,Maritime,Très facile,8,5 minutes,5 minutes,10 minutes,4,,4.7,"Casserole, louche",,"PREMIÈRE RATION: +2 Constitution contre le froid 4h, ignore 1 niveau de fatigue, +1 Force 1h, courage liquide. RATION QUOTIDIENNE (1-2 semaines): Effets complets, commence à compter sur le grog pour le froid. 3-4 SEMAINES (2 rations/jour): +1 Constitution, +0 Force, tolérance au froid réduite (2h). 2-3 MOIS (3+ rations/jour): +0 aux stats, résistance naturelle au froid DIMINUÉE (le corps s'habitue au grog), besoin de 4-5 rations pour effet. DÉPENDANCE SÉVÈRE (6+ mois): Sans grog, -2 Constitution, pas de résistance au froid, tremblements violents, le pirate ne peut plus naviguer en eaux froides sans grog.",4 heures par ration,Élevé,"2 rations par jour pendant 21 jours, ou 3+ rations quotidiennes pendant 14 jours. Les marins en eaux froides ont un risque TRIPLE (le grog devient survie, pas plaisir).","Dégradation insidieuse et dangereuse pour la navigation. Semaine 1-2: Effets complets, le grog sauve des vies dans les tempêtes glacées. Semaine 3-4: Tolérance se développe, besoin d'augmenter doses. Mois 2: La résistance naturelle au froid du corps DIMINUE (le corps ne s'adapte plus au froid, compte sur l'alcool). Mois 3-6: Sans grog, le marin gèle 2x plus vite qu'un non-buveur. Mois 6+: Cercle vicieux mortel - ne peut survivre au froid sans grog, mais le grog détruit le corps. Choix impossible: mourir de froid ou mourir d'alcool.","ACCOUTUMANCE LÉGÈRE (3-4 semaines): Besoin psychologique de grog par temps froid, légère diminution de la résistance naturelle au froid. ACCOUTUMANCE MODÉRÉE (2-4 mois): -1 Constitution permanent, frissonne sans grog même par temps modéré, besoin de 4-6 rations/jour, cirrhose précoce, jugement altéré (risques en navigation). DÉPENDANCE SÉVÈRE (6+ mois): -2 Constitution, -1 Force permanents, foie détruit (jaunisse, ventre gonflé), ne peut plus naviguer en eaux froides sans grog constant, tremblements permanents des mains (impossible de tenir une épée), espérance de vie réduite de 20 ans, risque d'amputation des orteils gelés (mauvaise circulation + alcool).","SEVRAGE LÉGER (1-3 jours): Frissons intenses même au chaud, tremblements des mains, anxiété, besoin irrépressible de chaleur/alcool. SEVRAGE MODÉRÉ (4-10 jours): Convulsions par temps froid, hallucinations de tempêtes glacées, sueurs froides alternant avec fièvre, douleurs abdominales (foie), impossible de tenir quart de nuit. SEVRAGE SÉVÈRE (2-4 semaines): Hypothermie même à température normale (corps ne régule plus), delirium tremens avec visions de noyades et monstres marins, risque de pneumonie, doit être maintenu au chaud constant et sous surveillance médicale. Nécessite: prêtre ou clerc de la mer + Restauration supérieure + couvertures enchantées de chaleur + sevrage PROGRESSIF sur 2 mois (réduction graduelle, arrêt brutal = mort par hypothermie ou crise cardiaque).","Chaud, épicé, alcoolisé, réconfortant, brûlant",Ambré fumant avec rondelle de citron flottante,"Rhum puissant, cannelle, citron, clou de girofle","Chaud et réconfortant, brûle un peu la gorge","Dans des chopes en étain cabossé, très chaud, sur le pont pendant les quarts de nuit","Biscuits de mer durs, poisson séché, rations de survie",Boire immédiatement tant que c'est chaud,30 minutes max (perd efficacité en refroidissant),1.5,"Ration quotidienne officielle des marins (introduite par l'amiral Grog vers 1740). Double fonction: prévient le scorbut (citron) et maintient le moral. Mais a créé des générations de marins alcooliques. Certaines marines ont interdit le grog, d'autres l'ont gardé mais réduit les doses. Les vieux loups de mer disent: 'Le grog te garde en vie en hiver, mais il te tue en été.'","Inventé par l'amiral Grog pour réduire l'ivresse à bord (dilution du rhum pur). Ironiquement, a créé plus d'alcooliques car consommé quotidiennement. Les registres maritimes montrent que 40% des marins de long cours étaient dépendants au grog après 5 ans de service.",,"Ne jamais faire bouillir le rhum, il perd ses arômes et son efficacité. Les vieux pirates ajoutent une touche de rhum supplémentaire en douce. Ne jamais servir de grog à un marin avant un abordage - réflexes altérés.","DANGER EXTRÊME POUR MARINS. Le grog créant une dépendance physiologique au froid + alcool, l'arrêt brutal peut être MORTEL. Les capitaines expérimentés savent qu'un marin en sevrage de grog est un marin mort en haute mer. Certains navires gardent des 'rations d'urgence' de grog pour les dépendants, même si le reste de l'équipage a arrêté. Le dilemme moral: laisser un homme boire jusqu'à la mort, ou le sevrer et le condamner à l'hypothermie? Les guildes maritimes ont des 'centres de désintoxication terrestre' où les marins retraités peuvent se sevrer sans risque de navigation.","Le grog a sauvé plus de vies qu'il n'en a détruites, mais la balance est serrée. Les historiens maritimes débattent encore: était-ce nécessaire? Certains navires marchands ont remplacé le grog par du thé chaud au gingembre avec succès. Le grog reste un symbole de la vie en mer, pour le meilleur et pour le pire. Proverbe pirate: 'Le grog te donne des ailes en tempête, mais te coupe les jambes au port.'",68e299b29d039fe429249d78,2025-10-05T16:15:46.638000,2025-10-05T16:15:46.638000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Gin Tonic des Forêts,Cocktail rafraîchissant aux baies de genièvre. Élégant et botanique.,,Boisson,Elfique,Facile,11,5 minutes,0,5 minutes,1,,4.25,"Verre long, cuillère à mélange",,"PREMIER VERRE: +1 Charisme, +1 Dextérité pendant 1 heure, clarté d'esprit, esprit vif. CONSOMMATION SOCIALE MODÉRÉE (1-2 verres/semaine): Effets pleins, pas de tolérance. CONSOMMATION RÉGULIÈRE (1 verre/jour, 2-4 semaines): +1 Charisme, +0 Dextérité, début de besoin social. CONSOMMATION EXCESSIVE (2-3 verres/jour, 1-2 mois): +0 Charisme (haleine), désavantage Dextérité le matin sans gin, irritabilité. DÉPENDANCE (3+ verres/jour, 3+ mois): Malus -1 Charisme, -1 Constitution, tremblements permanents, le gin fait partie du rituel obligatoire.",1 heure par verre,Modéré,"2 verres par jour pendant 30 jours, ou binge drinking (4+ verres) 2 fois par semaine pendant 6 semaines. Les elfes ont une tolérance naturelle mais ne sont PAS immunisés.","Dégradation subtile mais réelle. Le gin-tonic est socialement acceptable, ce qui masque le danger. Semaine 1-4: Effets complets. Mois 2-3: La 'clarté d'esprit' devient illusion - le buveur pense mieux réfléchir avec un verre, mais c'est l'alcool qui parle. Mois 3-6: Le bonus Charisme devient illusion sociale - convaincu d'être charmant, devient insupportable ('drunk wisdom'). Mois 6+: Tremblements matinaux, besoin du verre pour 'fonctionner', les mains ne sont stables qu'après le premier gin.","ACCOUTUMANCE LÉGÈRE (1-2 mois): Rituel quotidien du gin-tonic après le travail, léger inconfort social sans gin, début de tolérance (besoin de 2 verres pour effet). ACCOUTUMANCE MODÉRÉE (3-6 mois): -1 Constitution, tremblements légers le matin, besoin de 3-4 verres/jour, dépenses excessives en gin premium (10-20% des revenus), déni de l'accoutumance ('je contrôle'). DÉPENDANCE SÉVÈRE (6+ mois): -1 Constitution, -1 Charisme permanents, tremblements constants sans alcool, impossible de fonctionner socialement sans gin, isolement social paradoxal (boit pour socialiser mais est alcoolique), risque de pancréatite.","SEVRAGE LÉGER (2-5 jours): Anxiété sociale intense, tremblements des mains, insomnie, irritabilité, envies puissantes. SEVRAGE MODÉRÉ (5-14 jours): Attaques de panique, transpiration excessive, incapacité à se concentrer, humeur dépressive, les mains tremblent trop pour tenir un arc (elfes archers). SEVRAGE LONG TERME (2-4 semaines): Dépression majeure, anhedonie (rien ne procure de plaisir), anxiété généralisée. Nécessite soutien psychologique + Calme des émotions régulier + substitution progressive (remplacer par tonic sans gin, puis thé). Les cercles sociaux elfiques organisent des 'soirées sans alcool' pour soutenir.","Botanique, frais, légèrement amer, notes de genièvre","Translucide avec bulles et rondelle de citron, élégant","Genièvre, citron, notes florales, parfums des forêts","Pétillant, glacé, rafraîchissant","Dans un verre ballon en cristal avec beaucoup de glace, garnir généreusement","Apéritif, poissons fumés, canapés élégants, soirées mondaines",Boire immédiatement tant que c'est frais,10 minutes max (bulles se dissipent),5,"Cocktail emblématique des soirées elfiques élégantes. La culture elfique valorise la sophistication et la modération, mais certains elfes de haute société cachent leur alcoolisme derrière l'élégance du gin-tonic. Les 'aperitifs' elfiques durent 3-4 heures, consommation de 4-6 gin-tonics courants. Le déni est fort: 'Ce n'est pas de l'alcoolisme, c'est du raffinement.'","Adapté d'une recette humaine par les elfes des bois vers 1850. Les hauts-elfes l'ont adopté rapidement pour leurs réceptions. Premier cas d'alcoolisme elfique documenté au gin: Lady Elenwe de Rivendell (1867), morte de cirrhose à seulement 450 ans.",,"Le ratio gin/tonic est important, ne pas noyer le gin. Traditionnellement 1 dose de gin (50ml) pour 3 de tonic (150ml). Certains elfes mettent 2-3 doses de gin, multipliant les risques. Compter ses verres est essentiel mais socialement mal vu dans les cercles elfiques ('tu brises l'ambiance').","DANGER SOCIAL MASQUÉ. Le gin-tonic étant socialement valorisé et élégant, il est facile de glisser dans l'alcoolisme 'respectable'. Les soirées elfiques où le gin coule peuvent durer des heures, normalisant la surconsommation. Beaucoup d'elfes développent une dépendance sans s'en rendre compte car 'c'est socialement acceptable'. Le ratio gin/tonic est crucial - certains bars elfiques servent du 'gin pur déguisé en gin-tonic' (très peu de tonic), augmentant les risques.","Accompagne parfaitement les discussions sous les étoiles, tant que c'est occasionnel. Les conseils elfiques ont récemment voté des lois limitant le nombre de gin-tonics servis par soirée (max 3), mais l'application est difficile. Des groupes de soutien elfiques 'Gin Anonymes' existent dans les grandes cités, mais y aller est vu comme un échec social. Le proverbe elfique dit: 'Un gin-tonic par pleine lune est tradition, un par jour est prison.'",68e299b29d039fe429249d79,2025-10-05T16:15:46.638000,2025-10-05T16:15:46.638000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Smoothie Draconique aux Baies,Boisson fruitée énergisante avec essence de dragon. Revigore instantanément.,,Boisson,Magique,Moyen,15,10 minutes,0,10 minutes,2,,38.25,Mixeur magique ou mortier,,Restaure 3d8+3 points de vie. +2 Force et Constitution pendant 4 heures. Résistance à un type de dégâts élémentaires (selon dragon) pendant 1 heure.,4 heures,,,,,,"Fruité intense, notes de puissance draconique",Rouge vif avec reflets iridescents,Baies fraîches avec arrière-goût sulfureux,"Épais, onctueux, énergisant",Boire juste avant un combat ou effort intense,"Seul, en boost d'énergie",Perd ses propriétés magiques après 1 heure,1 heure (magique),20,Boisson des aventuriers d'élite avant les donjons,Inventée par un alchimiste qui a survécu à une rencontre avec un dragon,,L'écaille doit être ajoutée en dernier sinon elle brûle les autres ingrédients,Peut causer des rêves de dragons. Ne pas consommer avant de dormir.,Les guerriers en redemandent toujours,68e2973d62ee4dfd14fa1c15,2025-10-05T16:05:17.857000,2025-10-05T16:05:17.857000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Gin Tonic des Forêts,Cocktail rafraîchissant aux baies de genièvre. Élégant et botanique.,,Boisson,Elfique,Facile,11,5 minutes,0,5 minutes,1,,4.25,"Verre long, cuillère à mélange",,"+1 Charisme, +1 Dextérité pendant 1 heure. Clarté d'esprit.",1 heure,,,,,,"Botanique, frais, légèrement amer",Translucide avec bulles et citron,"Genièvre, citron, notes florales","Pétillant, glacé",Dans un verre ballon avec beaucoup de glace,"Apéritif, poissons fumés",Boire immédiatement,10 minutes,5,Cocktail des soirées elfiques élégantes,Adapté d'une recette humaine par les elfes des bois,,"Le ratio gin/tonic est important, ne pas noyer le gin",,Accompagne parfaitement les discussions sous les étoiles,68e2973d62ee4dfd14fa1c16,2025-10-05T16:05:17.857000,2025-10-05T16:05:17.857000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Jus de Fruits de l'Arbre-Monde,Nectar de fruits magiques de l'Yggdrasil. Purifie et revitalise.,,Boisson,Druidique,Difficile,18,30 minutes,0,30 minutes,4,,101.4,"Pressoir en bois sacré, récipients en cristal",,Restaure 5d8+5 PV. Enlève toutes maladies et poisons. +3 à toutes caractéristiques pendant 8 heures. Régénération de 1 PV/round pendant 1 minute.,8 heures,,,,,,"Indescriptible, goût de vie pure",Doré avec lueurs arc-en-ciel,Parfum de printemps éternel,Liquide lumineux,"Dans des coupes en cristal, sous les arbres",Ne nécessite aucun accompagnement,Doit être conservé dans du cristal enchanté,1 an si correctement conservé,100,"Plus rare que les potions de soins supérieures, réservé aux héros","Recette secrète des archidruides, transmise oralement",,Un seul échec dans la préparation peut transformer le nectar en poison mortel,Ne doit être préparé que par un druide confirmé. Jet raté = poison.,"Vaut une petite fortune, pourrait financer une armée",68e2973d62ee4dfd14fa1c17,2025-10-05T16:05:17.857000,2025-10-05T16:05:17.857000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bière Blonde Artisanale,Bière dorée rafraîchissante. Goût de malt et houblon équilibré.,,Boisson,Naine,Moyen,14,2 heures,14 jours (fermentation),14 jours,20,,15.4,"Cuve de brassage, fermenteur, tonneaux",,Bonus de +1 au Charisme pendant 1 heure. Effet d'alcool après 3 chopes.,1 heure,,,,,,"Malté, légèrement amer, rafraîchissant",Dorée brillante avec belle mousse blanche,"Houblon frais, pain grillé","Pétillante, mousse crémeuse",Servir fraîche (8°C) dans une chope,"Charcuterie, fromages, viandes grillées","Au frais, à l'abri de la lumière",6 mois en fût,1,"Boisson sacrée des nains, brassée pour chaque fête",Recette transmise de maître brasseur en apprenti depuis des siècles,,La température de fermentation est cruciale. Un échec au jet peut donner des arômes désagréables.,,Les nains considèrent un bon brasseur comme un artiste,68e2973d62ee4dfd14fa1c0b,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
